Input Sentence,Output Sentence
"दुनिया भर में विरोध प्रदर्शन हुए , कई आपराधिक मुकदमे दर्ज हुए और आइसलैंड और पाकिस्तान की सरकारों के कई नेताओं ने इस्तीफा दे दिया ।","दुनिया भर__में विरोध__प्रदर्शन हुए , कई आपराधिक मुकदमे दर्ज__हुए और आइसलैंड और पाकिस्तान__की सरकारों__के कई नेताओं__ने इस्तीफा दे__दिया ।"
"मा का जन्म हांगकांग में हुआ था , उन्होंने न्यूयॉर्क विश्वविद्यालय और हार्वर्ड लॉ स्कूल में अध्ययन किया और उनके पास अमेरिका की स्थाई नागरिकता वाला “ ग्रीन कार्ड ” भी था .","मा__का जन्म हांगकांग__में हुआ__था , उन्होंने न्यूयॉर्क__विश्वविद्यालय और हार्वर्ड__लॉ__स्कूल__में अध्ययन किया और उनके पास अमेरिका__की स्थाई नागरिकता__वाला “ ग्रीन__कार्ड ” भी था ."
चुनाव के दौरान साइह ने जताया कि संकट के दौर में मा देश छोड़कर भाग सकते हैं .,चुनाव__के दौरान साइह__ने जताया कि संकट__के दौर__में मा__देश छोड़कर भाग__सकते__हैं .
शय ने यह भी तर्क दिया कि फ़ोटोजेनिक मा हक़ीक़त की तुलना में ज़्यादा बनावटी थे .,शय__ने यह भी तर्क दिया कि फ़ोटोजेनिक मा__हक़ीक़त__की__तुलना__में ज़्यादा बनावटी थे .
"इन आरोपों के बावजूद , मा ने चीनी महाद्वीप के साथ घनिष्ठ संबंधों की वकालत करते हुए एक मंच पर जीत हासिल की .","इन आरोपों__के बावजूद , मा__ने चीनी महाद्वीप__के साथ घनिष्ठ संबंधों__की वकालत करते__हुए एक मंच__पर जीत हासिल__की ."
आज के खिलाड़ी वॉशिगंटन कैपिटल्स के एलेक्स ओवेचकिन हैं .,आज__के खिलाड़ी वॉशिगंटन__कैपिटल्स__के एलेक्स ओवेचकिन हैं .
अटलांटा थ्रैशर्स पर वाशिंगटन की 5 -3 की जीत में उन्होंने 2 गोल और 2 असिस्ट किए थे .,अटलांटा__थ्रैशर्स__पर वाशिंगटन__की 5 -3 की जीत__में उन्होंने 2 गोल और 2 असिस्ट किए__थे .
उस रात रूकी निकल्स बैक स्ट्रॉम के खेल जिताने वाले गोल से ओवेचकिन को सबसे पहली मदद मिली .,उस रात रूकी निकल्स बैक__स्ट्रॉम__के खेल जिताने__वाले गोल__से ओवेचकिन__को सबसे पहली मदद मिली .
"रात का उनका दूसरा गोल सीज़न का उनका 60वाँ गोल था , जिससे 1995 - 96 से लेकर जब जोरोमिर जागर और मारियो लेमिएक्स ने इतने गोल किए थे उसके बाद वह एक सीज़न में 60 या इससे अधिक गोल करने वाले पहले खिलाड़ी बन गए हैं .","रात__का उनका दूसरा गोल सीज़न__का उनका 60वाँ गोल था , जिससे 1995__- 96__से लेकर जब जोरोमिर__जागर और मारियो__लेमिएक्स__ने इतने गोल किए__थे उसके बाद वह एक सीज़न__में 60 या इससे अधिक गोल करने__वाले पहले खिलाड़ी बन__गए__हैं ."
2008 के 400 सबसे अमीर अमेरिकियों की सूची में बैटन को $ 2.3 billion की अनुमानित संपत्ति के साथ 190 वें स्थान पर रखा गया था ।,2008__के 400 सबसे अमीर अमेरिकियों__की सूची__में बैटन__को $ 2.3 billion__की अनुमानित संपत्ति__के__साथ 190 वें स्थान__पर रखा__गया__था ।
उन्होंने 1950 में वर्जीनिया यूनिवर्सिटी के कला और विज्ञान महाविद्यालय से स्नातक की उपाधि हासिल की थी और वे उस संस्था के अहम दानदाता थे .,उन्होंने 1950__में वर्जीनिया__यूनिवर्सिटी__के कला__और विज्ञान__महाविद्यालय__से स्नातक__की उपाधि हासिल__की__थी और वे उस संस्था__के अहम दानदाता थे .
इराक की अबू ग़रीब जेल को दंगे के दौरान आग के हवाले कर दिया गया ।,इराक__की अबू__ग़रीब__जेल__को दंगे__के दौरान आग__के हवाले कर__दिया__गया ।
"कैदी दुर्व्यवहार के पता चलने का बाद जेल कुख्यात हो गयी , उसके बाद एस सैन्य दलों ने पद भर संभल लिया |","कैदी__दुर्व्यवहार__के पता चलने__का बाद जेल कुख्यात__हो__गयी , उसके बाद एस__सैन्य दलों__ने पद__भर संभल लिया |"
फ़र्नांडो अलोंसो के लिए एक शुरुआती पिट स्टॉप के बाद पिकेट जूनियर 2008 के सिंगापुर ग्रां प्री में दुर्घटनाग्रस्त हो गया ।,फ़र्नांडो__अलोंसो__के__लिए एक शुरुआती पिट__स्टॉप__के बाद पिकेट जूनियर__2008__के सिंगापुर__ग्रां__प्री__में दुर्घटनाग्रस्त हो__गया ।
"जैसे ही अलोंसो के आगे की कारें सेफ्टी कार के नीचे ईंधन लेने के लिए चली गईं , वह जीत दर्ज करने के लिए आगे बढ़ गया ।","जैसे ही अलोंसो__के आगे की कारें सेफ्टी__कार__के नीचे ईंधन लेने__के__लिए चली__गईं , वह जीत दर्ज__करने__के__लिए आगे बढ़__गया ।"
पिकेट जूनियर को 2009 हंगरी ग्रैंड प्री के बाद निकाल दिया गया .,पिकेट__जूनियर__को 2009__हंगरी ग्रैंड__प्री__के बाद निकाल__दिया__गया .
"ठीक 8 :46 बजे , सुबह पूरे शहर मे चुप्पी फैल गई , ठीक उसी पल पहले जेट ने अपना निशाना बनाया ।","ठीक 8 :46 बजे , सुबह पूरे शहर__मे चुप्पी फैल__गई , ठीक उसी पल पहले जेट__ने अपना निशाना बनाया ।"
रातभर आसमान की ओर देखने के लिए प्रकाश की दो किरणों को तैयार किया गया है .,रातभर आसमान__की ओर देखने__के__लिए प्रकाश__की दो किरणों__को तैयार__किया__गया__है .
"साईट पर पांच नई गगनचुम्बी इमारतों पर काम चल रहा है , इन इमारतों के बीच में एक परिवहन केंद्र और स्मारक पार्क होगा ।","साईट__पर पांच नई गगनचुम्बी इमारतों__पर काम चल__रहा__है , इन इमारतों__के बीच में एक परिवहन__केंद्र और स्मारक__पार्क होगा ।"
इस PBS शो को दो दर्जन से ज़्यादा एमी पुरस्कार मिल चुके हैं . नियमित प्रसारण के मामले में यह सिर्फ़ सीसेम स्ट्रीट और रॉजर नेबरहुड से पीछे है .,इस PBS__शो__को दो दर्जन से ज़्यादा एमी पुरस्कार मिल__चुके__हैं . नियमित प्रसारण__के मामले__में यह सिर्फ़ सीसेम__स्ट्रीट और रॉजर__नेबरहुड__से पीछे है .
शो का हर एक एपिसोड एक ख़ास पुस्तक की थीम पर केंद्रित होगा और फिर कई कहानियों के माध्यम से उस थीम को खोजेगा .,शो__का हर एक एपिसोड एक ख़ास पुस्तक__की थीम__पर केंद्रित__होगा और फिर कई कहानियों__के माध्यम से उस थीम__को खोजेगा .
हर शो में कुछ किताबों के बारे में सलाह भी दी जाएगी . बच्चों को अपनी लाइब्रेरी में जाकर ये किताबें पढ़नी चाहिए .,हर शो__में कुछ किताबों__के__बारे__में सलाह भी दी__जाएगी . बच्चों__को अपनी लाइब्रेरी__में जाकर ये किताबें पढ़नी__चाहिए .
"डब्ल्यूएनईडी बफेलो से ( Rainbow 's home station पढ़ते हुए ) जॉन ग्रांट ने कहा “ रेनबो ने बच्चों को सिखाया कि पढ़ना क्यों चाहिए ,.... पढने के प्रति लगाव --- ( द शो ) ने बच्चों को किताब उठा के पढने के लिए प्रेरित किया .","डब्ल्यूएनईडी__बफेलो__से ( Rainbow__'s home__station पढ़ते__हुए ) जॉन__ग्रांट__ने कहा “ रेनबो__ने बच्चों__को सिखाया कि पढ़ना क्यों चाहिए ,.... पढने__के__प्रति लगाव --- ( द__शो ) ने बच्चों__को किताब उठा के पढने__के__लिए प्रेरित__किया ."
जॉन ग्रांट सहित कुछ लोगों का मानना है कि फंडिंग की कमी और शैक्षिक टेलीविज़न प्रोग्रामिंग के दर्शन में बदलाव दोनों ने इस श्रृंखला को समाप्त करने में योगदान दिया है .,जॉन__ग्रांट__सहित कुछ लोगों__का मानना है कि फंडिंग__की कमी और शैक्षिक टेलीविज़न__प्रोग्रामिंग__के दर्शन__में बदलाव दोनों__ने इस श्रृंखला__को समाप्त__करने__में योगदान दिया__है .
"पूर्वानुमान कहते हैं कि यह तूफ़ान केप वर्डे द्वीपों के पश्चिम में लगभग 645 मील ( 1040 किमी ) की दूरी पर स्थित है , जिसके किसी भी भूमि क्षेत्रों में नुकसान करने से पहले समाप्त होने की संभावना है .","पूर्वानुमान कहते__हैं कि यह तूफ़ान केप वर्डे__द्वीपों__के पश्चिम__में लगभग 645 मील ( 1040 किमी ) की दूरी__पर स्थित है , जिसके किसी भी भूमि__क्षेत्रों__में नुकसान करने__से पहले समाप्त__होने__की संभावना है ."
इस समय फ़्रेड 105 मील प्रति घंटे ( 165 किमी प्रति घंटा ) की हवा की गति से उत्तर - पश्चिम की ओर बढ़ रहा है .,इस समय फ़्रेड 105 मील प्रति घंटे ( 165 किमी__प्रति घंटा ) की हवा__की गति__से उत्तर - पश्चिम__की ओर बढ़__रहा__है .
सैटेलाइट इमेजरी के आगमन के बाद से फ़्रेड अटलांटिक में अब तक दक्षिण और पूर्व में दर्ज सबसे शक्तिशाली उष्णकटिबंधीय चक्रवात है और 35 °W के पूर्व में केवल तीसरा प्रमुख तूफ़ान रिकॉर्ड है .,सैटेलाइट__इमेजरी__के आगमन__के बाद से फ़्रेड__अटलांटिक__में अब__तक दक्षिण और पूर्व__में दर्ज सबसे शक्तिशाली उष्णकटिबंधीय चक्रवात है और 35 °W__के पूर्व में केवल तीसरा प्रमुख तूफ़ान__रिकॉर्ड है .
"24 सितंबर , 1759 को , आर्थर गिनीज़ ने डबलिन , आयरलैंड में सेंट जेम्स गेट ब्रूअरी के लिए 9,000 साल की लीज़ पर हस्ताक्षर किए .","24 सितंबर__, 1759__को , आर्थर__गिनीज़__ने डबलिन , आयरलैंड__में__सेंट__जेम्स__गेट__ब्रूअरी__के__लिए 9,000 साल__की लीज़__पर हस्ताक्षर किए ."
"250 साल बाद , गिनीज़ एक वैश्विक व्यवसाय बन चुका है जो हर साल 10 बिलियन यूरो ( 14.7 बिलियन अमेरिकी डॉलर ) से ज़्यादा की कमाई करता है .","250 साल बाद , गिनीज़ एक वैश्विक व्यवसाय बन__चुका__है जो हर साल 10 बिलियन यूरो ( 14.7 बिलियन अमेरिकी डॉलर ) से ज़्यादा की कमाई करता__है ."
आज A1GP न्यूज़ीलैंड टीम के को - ड्राइवर जॉनी रेड ने न्यूज़ीलैंड के 48 साल से अधिक पुराने ऑकलैंड हार्बर ब्रिज पर वैधानिक रूप से सबसे तेज़ गाड़ी चलाकर इतिहास बनाया .,आज A1GP न्यूज़ीलैंड__टीम__के को__-__ड्राइवर जॉनी__रेड__ने न्यूज़ीलैंड__के 48 साल__से अधिक पुराने ऑकलैंड__हार्बर__ब्रिज__पर वैधानिक रूप__से सबसे तेज़ गाड़ी चलाकर इतिहास बनाया .
"श्री रीड न्यूज़ीलैंड की A1GP कार , ब्लैक ब्यूटी को एक पुल से 160 किलोमीटर / घंटा से तेज़ रफ़्तार से सात बार ले जाने में सफल रहे .","श्री रीड__न्यूज़ीलैंड__की A1GP__कार , ब्लैक__ब्यूटी__को एक पुल__से 160 किलोमीटर / घंटा__से तेज़ रफ़्तार__से सात बार ले__जाने में सफल रहे ."
"ब्लैक ब्यूटी के छोटे आकार की वजह से न्यूज़ीलैंड की पुलिस को रडार गन का इस्तेमाल करके श्री रीड की रफ़्तार पता लगाने में कठिनाई हो रही थी . पुलिस उनकी रफ़्तार सिर्फ़ तभी माप सकी , जब वे रफ़्तार कम करके 160 किलोमीटर / घंटा पर आ गए थे .","ब्लैक__ब्यूटी__के छोटे आकार__की वजह__से न्यूज़ीलैंड__की पुलिस__को रडार__गन__का इस्तेमाल करके श्री__रीड__की रफ़्तार पता लगाने__में कठिनाई हो__रही__थी . पुलिस उनकी रफ़्तार सिर्फ़ तभी माप__सकी , जब वे रफ़्तार कम__करके 160 किलोमीटर / घंटा__पर आ__गए__थे ."
"पिछले 3 महीनों में , सेंट्रल बुकिंग फ़ेसिलिटी ने 80 से ज़्यादा लोगों को बिना कोई आधिकारिक आरोप लगाए रिहा कर दिया .","पिछले 3 महीनों__में , सेंट्रल__बुकिंग__फ़ेसिलिटी__ने 80 से ज़्यादा लोगों__को बिना कोई आधिकारिक आरोप लगाए रिहा__कर__दिया ."
"इस साल अप्रैल में , जज ग्लिन ने जेल प्रशासन के खिलाफ अस्थाई बचाव आदेश दिया था . इसमें ऐसे लोगों को ज़बरदस्ती 24 घंटों से ज़्यादा रखने पर पाबंदी है जो जेल में आने के बाद न्यायलय कमिश्नर के सामने पेश नहीं किए गए .","इस साल__अप्रैल__में , जज__ग्लिन__ने जेल__प्रशासन__के__खिलाफ अस्थाई बचाव__आदेश दिया__था . इसमें ऐसे लोगों__को ज़बरदस्ती 24 घंटों__से ज़्यादा रखने__पर पाबंदी है जो जेल__में आने__के बाद न्यायलय__कमिश्नर__के सामने पेश नहीं किए__गए ."
"अगर गिरफ़्‍तार करने वाले अधिकारी द्वारा दर्ज किए गए आरोपों को औपचारिक रूप और अनुमति दी जाती है , तब आयुक्त जमानत प्रदान करता है . फिर आरोपों को राज्य की कंप्यूटर प्रणाली में दर्ज किया जाता है जहाँ मामले को ट्रैक किया जाता .","अगर गिरफ़्‍तार करने__वाले अधिकारी__द्वारा दर्ज__किए__गए आरोपों__को औपचारिक रूप और अनुमति दी__जाती__है , तब आयुक्त जमानत प्रदान__करता__है . फिर आरोपों__को राज्य__की कंप्यूटर__प्रणाली__में दर्ज__किया__जाता__है जहाँ मामले__को ट्रैक__किया__जाता ."
सुनवाई में एक त्वरित परीक्षण के लिए संदिग्ध के अधिकार की तारीख भी अंकित है ।,सुनवाई__में एक त्वरित परीक्षण__के__लिए संदिग्ध__के अधिकार__की तारीख भी अंकित है ।
ऑस्ट्रेलिया के ट्रेज़रार और लिबरल पार्टी के नेता के रूप में प्रधानमंत्री जॉन हॉवर्ड की जगह लेने वाले पीटर कास्टेलो ने ऑस्ट्रेलिया में न्यूक़्लियर पॉवर इंडस्ट्री को अपना समर्थन दे दिया है .,ऑस्ट्रेलिया__के ट्रेज़रार__और लिबरल__पार्टी__के नेता__के__रूप__में प्रधानमंत्री जॉन__हॉवर्ड__की जगह लेने__वाले पीटर__कास्टेलो__ने ऑस्ट्रेलिया__में न्यूक़्लियर__पॉवर__इंडस्ट्री__को अपना समर्थन दे__दिया__है .
"मिस्टर कॉस्टेलो ने कहा कि जब परमाणु ऊर्जा उत्पादन आर्थिक रूप से व्यावहारिक हो जाता है , तो ऑस्ट्रेलिया को इसका इस्तेमाल करना चाहिए .","मिस्टर__कॉस्टेलो__ने कहा कि जब परमाणु__ऊर्जा__उत्पादन आर्थिक रूप__से व्यावहारिक हो__जाता__है , तो ऑस्ट्रेलिया__को इसका इस्तेमाल करना__चाहिए ."
"“यदि यह वाणिज्यिक हो जाता है , तो इसे हमारे पास होना चाहिए । श्री कोस्टेलो ने कहा कि परमाणु ऊर्जा पर कोई सैद्धांतिक आपत्ति नहीं है ।”","“यदि यह वाणिज्यिक हो__जाता__है , तो इसे हमारे पास होना__चाहिए । श्री__कोस्टेलो__ने कहा कि परमाणु__ऊर्जा__पर कोई सैद्धांतिक आपत्ति नहीं है ।”"
"अन्सा के अनुसार , “ पुलिस शीर्ष स्तर के कुछ हिट्स से चिंतित थी उन्हें डर था कि वे उत्तराधिकार के लिए एक जंग छेड़ सकते हैं .","अन्सा__के__अनुसार , “ पुलिस शीर्ष स्तर__के कुछ हिट्स__से चिंतित थी उन्हें डर था कि वे उत्तराधिकार__के__लिए एक जंग छेड़__सकते__हैं ."
पुलिस ने कहा कि लो पिकालो की स्थिति मज़बूत थी क्योंकि वह पलेर्मो में प्रोवेन ज़ानो का दाहिना हाथ था और उसके अनुभव ने उसे पुरानी पीढ़ी के मालिकों का सम्मान दिलवाया था क्योंकि वे अपने शक्ति तंत्र को मजबूत करते हुए अपनी छवि को न्यून बनाए रखने के प्रोवेन ज़ानो की नीति का अनुसरण करते थे ।,पुलिस__ने कहा कि लो पिकालो__की स्थिति मज़बूत__थी क्योंकि वह पलेर्मो__में प्रोवेन__ज़ानो__का दाहिना हाथ था और उसके अनुभव__ने उसे पुरानी पीढ़ी__के मालिकों__का सम्मान दिलवाया__था क्योंकि वे अपने शक्ति तंत्र__को मजबूत__करते__हुए अपनी छवि__को न्यून__बनाए रखने__के प्रोवेन__ज़ानो__की नीति__का अनुसरण करते__थे ।
इन मालिकों को प्रोवेनज़ानो ने अपने वश में कर रखा था जब उन्होंने 1992 में राज्य के विरुद्ध रीना - द्वारा संचालित युद्ध को समाप्त किया जिसमें माफिया योद्धा जियोवानी फैल्कोन और पाओलो बोरसेलिनो की जान चली गई थी ।”,इन मालिकों__को प्रोवेनज़ानो__ने अपने वश__में कर__रखा__था जब उन्होंने 1992__में राज्य__के विरुद्ध रीना - द्वारा संचालित युद्ध__को समाप्त__किया जिसमें माफिया योद्धा जियोवानी__फैल्कोन और पाओलो__बोरसेलिनो__की जान चली__गई__थी ।”
Apple के सीईओ स्टीव जॉब्स ने मंच पर चढ़ कर और अपनी जींस की जेब से आईफ़ोन निकालकर डिवाइस का अनावरण किया .,Apple__के सीईओ स्टीव__जॉब्स__ने मंच__पर चढ़__कर और अपनी जींस__की जेब__से आईफ़ोन निकालकर डिवाइस__का अनावरण किया .
"अपने 2 घंटे के भाषण के दौरान , उन्होंने कहा कि “ आज ऐपल अपने फ़ोन का फिर आविष्कार करने जा रहा है , आज हम इतिहास बनाने जा रहे .","अपने 2 घंटे__के भाषण__के दौरान , उन्होंने कहा कि “ आज ऐपल अपने फ़ोन__का फिर आविष्कार करने__जा__रहा__है , आज हम इतिहास बनाने__जा__रहे ."
"ब्राजील , धरती पर सबसे बड़ा रोमन कैथोलिक देश है और रोमन कैथोलिक चर्च ने देश में समलैंगिक विवाह को वैध बनाने के खिलाफ हमेशा विरोध किया है .","ब्राजील , धरती__पर सबसे बड़ा रोमन कैथोलिक देश है और रोमन कैथोलिक__चर्च__ने देश__में समलैंगिक विवाह__को वैध__बनाने__के__खिलाफ हमेशा विरोध किया__है ."
ब्राज़ील की नेशनल कांग्रेस इस तरह के नागरिक विवाह को कानूनी मान्यता देने के लिए 10 सालों से चर्चा कर रही है जिसे फ़िलहाल सिर्फ़ सुल मान्यता प्राप्त है .,ब्राज़ील__की नेशनल__कांग्रेस इस तरह__के नागरिक__विवाह__को कानूनी मान्यता देने__के__लिए 10 सालों__से चर्चा कर__रही__है जिसे फ़िलहाल सिर्फ़ सुल__मान्यता प्राप्त है .
मूल बिल को साओ पाउलो के पूर्व मेयर मार्ता सुपीली द्वारा तैयार किया गया था । संशोधित होने के बाद प्रस्तावित कानून बन गया और अब यह रॉबर्टो जेफरसन के हाथों में है ।,मूल बिल__को साओ__पाउलो__के पूर्व मेयर मार्ता__सुपीली__द्वारा तैयार__किया__गया__था । संशोधित__होने__के बाद प्रस्तावित कानून बन__गया और अब यह रॉबर्टो__जेफरसन__के हाथों__में है ।
